stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
445,101,Otranto-O. del Balzo,,40.350835,18.176557,
446,102,Battisti,,40.354474,18.176507,
447,103,Costa,,40.354296,18.175297,
449,104,Palazzo di Giustizia,,40.358249,18.173489,
450,105,De Pietro,,40.359974,18.171920,
451,106,De Pietro,,40.360048,18.171519,
452,107,Palazzo di Giustizia,,40.358364,18.173210,
453,108,XXV Luglio,,40.355239,18.173742,
454,109,Castello,,40.352317,18.173965,
455,110,Porta S.Biagio,,40.349949,18.173484,
456,111,Questura,,40.347109,18.171657,
457,112,Piazza d'Italia,,40.348457,18.173466,
458,113,Otranto-Paisiello,,40.349499,18.174835,
459,114,Stazione FS,,40.346171,18.166296,
460,115,Gallipoli-Museo,,40.346916,18.169594,
461,116,Gallipoli-Museo,,40.346710,18.170244,
462,117,Marche-Ex ONMI,,40.345759,18.171256,
463,118,Marche-Ex ONMI,,40.345553,18.171615,
464,119,Marche-INPS,,40.343710,18.172704,
465,120,Marche-INPS,,40.343813,18.172777,
466,121,Marche-Leuca,,40.342547,18.175076,
467,122,Marche-Leuca,,40.342686,18.175044,
468,123,Alfieri,,40.343188,18.178357,
469,124,Alfieri,,40.343379,18.178231,
470,125,Rossini- Cicolella,,40.344636,18.181231,
471,126,Rossini-Cicolella,,40.344810,18.181084,
472,127,Rossini-Merine,,40.346806,18.184077,
473,128,Rossini-Merine,,40.347553,18.184416,
474,129,Rossini-Gentile,,40.349914,18.185781,
475,130,Rossini-Gentile,,40.349806,18.185514,
476,131,Japigia-Gentile,,40.351278,18.185994,
477,132,Japigia-Gentile,,40.351859,18.185787,
478,133,Japigia-Croce,,40.355350,18.185011,
479,134,Japigia-Croce,,40.354982,18.184914,
480,135,Leopardi-Scarpa,,40.358202,18.183343,
481,136,Leopardi-Scarpa,,40.358280,18.183026,
482,137,Leopardi-S.D. Savio,,40.361379,18.179765,
483,138,Leopardi-S.D. Savio,,40.360492,18.180835,
484,139,Foscolo-Frigole,,40.362672,18.175877,
485,140,Foscolo-Frigole,,40.362122,18.177277,
486,141,Foscolo-Po,,40.362980,18.173258,
487,142,Foscolo-Po,,40.362694,18.172995,
488,143,Foscolo-Bastioni,,40.361721,18.171090,
489,144,Foscolo-Bastioni,,40.361284,18.170766,
490,145,City Terminal,,40.362108,18.168678,
491,146,City Terminal,,40.362057,18.168373,
492,147,Calasso,,40.359918,18.169099,
493,148,Porta Napoli,,40.358147,18.168267,
494,149,Porta Napoli,,40.357686,18.167709,
495,150,Università,,40.355246,18.166417,
496,151,Università,,40.355325,18.166184,
497,152,Porta Rudiae,,40.351815,18.164376,
498,153,Porta Rudiae,,40.352111,18.164207,
499,154,Gallipoli-Diaz,,40.350408,18.164001,
500,155,Gallipoli-Diaz,,40.350319,18.163914,
501,156,Gallipoli-Lombardia,,40.348721,18.166847,
502,157,Gallipoli -Lombardia,,40.348663,18.166658,
503,158,Sturzo,,40.356320,18.182357,
504,159,Parini,,40.358518,18.182374,
505,160,Libertà-Roma,,40.362293,18.204496,
506,161,Torre del Parco,,40.346389,18.182458,
507,162,Torre del Parco,,40.346222,18.182389,
508,163,Don Minzoni,,40.348032,18.177351,
509,164,Don Minzoni,,40.347727,18.177901,
510,165,Case  Simini,,40.452881,18.209393,
511,166,I.Adriano-Gobetti,,40.355497,18.180143,
512,167,I.Adriano-Gobetti,,40.355711,18.180838,
513,168,Del Mare,,40.356389,18.183606,
514,169,Del Mare,,40.356438,18.183438,
515,170,Libertà-Pepe,,40.356900,18.185005,
516,171,Libertà-Pepe,,40.357143,18.186130,
517,172,Libertà-Cavoti,,40.358062,18.189125,
518,173,Libertà-Cavoti,,40.357944,18.188988,
519,174,Libertà-S.Elia,,40.358591,18.190991,
520,175,Libertà-S.Elia,,40.358585,18.191260,
521,176,Libertà-Machiavelli,,40.360559,18.197672,
522,177,Libertà-Machiavelli,,40.360972,18.199818,
523,178,Libertà-Roma,,40.361738,18.201870,
524,179,Stadio,,40.363884,18.210247,
525,180,Stadio,,40.364135,18.210096,
526,181,De Jacobis,,40.349396,18.161795,
527,182,Diaz,,40.348988,18.162519,
528,183,P.le Rudiae,,40.348824,18.158557,
529,184,P.le Rudiae,,40.348798,18.158723,
530,185,Massaglia,,40.348150,18.156563,
531,186,Massaglia,,40.348313,18.157250,
532,187,Monteroni,,40.346888,18.152717,
533,188,Monteroni,,40.346710,18.152465,
534,189,Casermette,,40.344970,18.146957,
535,190,Casermette,,40.344923,18.147204,
536,191,Torre Mozza,,40.343144,18.141696,
537,192,Alvar Aalto,,40.341943,18.121463,
538,193,Città di Lecce Hospital,,40.341556,18.127808,
539,194,Ecotekne-Economia,,40.333330,18.120151,
540,195,Ecotekne-Isufi,,40.333676,18.116664,
541,196,Ecotekne-Ingegneria,,40.334989,18.114395,
542,197,Ecotekne-Fiorini,,40.335785,18.112366,
543,198,Ecotekne-Ingegneria,,40.334862,18.114192,
544,199,Ecotekne-Economia.,,40.335551,18.119732,
545,200,Ecotekne-Orto Botanico,,40.334972,18.122647,
546,201,Colombo,,40.388212,18.299129,
547,202,Vespucci-Dubrovnik,,40.388274,18.303660,
548,203,San Cataldo,,40.383576,18.304810,
549,204,Vespucci-Lidi 1,,40.377491,18.310715,
550,205,Darsena,,40.394451,18.297864,
551,206,Cà da Mosto,,40.389276,18.296474,
552,207,Verrazzano,,40.386944,18.303986,
553,208,Verrazzano,,40.387938,18.304531,
554,209,Caboto,,40.390418,18.305667,
555,210,Spazzolini,,40.392266,18.303490,
556,211,Copernico,,40.384326,18.291152,
557,212,Vespucci-Lidi 2,,40.380154,18.308240,
558,213,Vespucci-Lidi 3,,40.382498,18.305846,
559,214, San Cataldo  ,,40.384721,18.304786,
561,216,Gioia Flavio,,40.391920,18.296263,
562,217,Leuca-Nizza,,40.340157,18.176636,
563,218,Leuca-Nizza,,40.341215,18.176304,
564,219,Leuca-Ortigara,,40.337508,18.177729,
565,220,Leuca-Ortigara,,40.338744,18.177334,
566,221,Leuca-Gigante,,40.335452,18.178590,
567,222,Leuca-Gigante,,40.335636,18.178680,
568,223,Parco Adele Savio,,40.332199,18.179963,
569,224,Parco Adele Savio,,40.332041,18.180218,
570,225,Leuca-Flacco,,40.327893,18.181817,
571,226,Leuca-Flacco,,40.328362,18.181737,
572,227,Tempi Nuovi,,40.325749,18.182714,
573,228,Leuca-Pepini,,40.319534,18.185483,
574,229,Lamia,,40.384594,18.274074,
575,230,Cartier-Mandorli,,40.387242,18.271730,
576,231,Cartier-Malaspina,,40.385785,18.268263,
577,232,Merine-De Donno,,40.347316,18.186366,
578,233,Merine-De Donno,,40.347503,18.186161,
579,234,Merine-Longo,,40.346589,18.188741,
580,235,Merine-Longo,,40.346745,18.188626,
581,236,Della Notte-Merine,,40.347325,18.191034,
582,237,Della Notte-Merine,,40.346998,18.190465,
583,238,Penna-Caiulo,,40.348335,18.194091,
584,239,Penna-Caiulo,,40.348319,18.193963,
585,240,Piaggia-Susini,,40.381373,18.260285,
586,241,Villaggio del Sole,,40.378713,18.261611,
587,242,Cavalleria-Fiesole,,40.351507,18.196627,
588,243,Cavalleria-Fiesole,,40.351512,18.196044,
589,244,Sordi,,40.351750,18.202868,
590,245,Pavarotti-Delle Scienze,,40.365140,18.071360,
591,246,Nassiriya-Siponto,,40.350592,18.195742,
592,247,Nassiriya-Siponto,,40.350128,18.195584,
593,248,Settelacquare,,40.355640,18.192801,
594,249,Settelacquare,,40.355729,18.192037,
595,250,Moro-Maglio,,40.355814,18.195824,
596,251,Moro-Maglio,,40.356065,18.196474,
597,252,Roma-Almirante,,40.356670,18.199308,
598,253,Roma-Almirante,,40.357100,18.199474,
599,254,Roma-P.zza S. Sabino,,40.358602,18.201480,
600,255,Roma-P.zza S. Sabino,,40.358771,18.201316,
601,256,Piazza Napoli,,40.359122,18.203967,
602,257,Piazza Napoli,,40.359244,18.203912,
603,258,P.zza M.T. di Calcutta,,40.359523,18.205815,
604,259,Lequile-Pisacane,,40.338857,18.156921,
605,260,Lequile-Pisacane,,40.339103,18.156917,
606,261,Lequile-Atlante,,40.336517,18.155664,
607,262,Lequile-Atlante,,40.336901,18.155717,
608,263,Ospedale,,40.331714,18.158398,
609,264,Polo Oncologico,,40.330195,18.162210,
610,265,Moscati-San Cesario,,40.329046,18.164905,
611,266,San Cesario-D'Arpe,,40.330935,18.166122,
612,267,San Cesario-Orefici,,40.332569,18.166624,
613,268,San Cesario-Cudazzo,,40.335444,18.167500,
614,270,San Cesario-Grassi,,40.338933,18.168523,
615,271,San Cesario-Basiliani,,40.341772,18.169369,
616,272,Realino-Ussano,,40.343981,18.170048,
617,273,Lupiae-Pitagora,,40.357856,18.191794,
618,274,Lupiae-Pitagora,,40.357422,18.191227,
619,275,P.zza Palio,,40.359156,18.193370,
620,276,P.zza Palio,,40.360139,18.194184,
621,277,D'Andrea-Ghezzi,,40.368224,18.187448,
622,278,Agrigento-Novara,,40.363348,18.198200,
623,279,Agrigento-Novara,,40.363577,18.198571,
624,280,Agrigento-P.le Pisa,,40.363569,18.194323,
625,281,Agrigento-P.le Pisa,,40.363824,18.194031,
626,282,San Nicola-Sellitto,,40.379225,18.160163,
627,283,Realino-Ussano,,40.344157,18.169965,
628,284,Rizzo-Grassi,,40.339179,18.164717,
629,285,Rizzo-Cudazzo,,40.337269,18.163366,
630,286,Rizzo-Muratore,,40.331836,18.160976,
631,287,San Nicola-Sidoti,,40.364300,18.165874,
632,288,Carrara,,40.365233,18.199887,
633,289,Carrara,,40.365079,18.199781,
634,290,P.le Cuneo,,40.368031,18.204128,
635,291,Lucca,,40.366502,18.204032,
636,292,Pistoia,,40.366965,18.201511,
637,293,SP133-Badisco,,40.475892,18.172116,
638,294,SP133-Badisco,,40.475768,18.172083,
639,295,Palazzetto dello Sport,,40.363776,18.191297,
640,296,Palazzetto dello Sport,,40.363701,18.191630,
641,297,G.Paolo II-Marinosci,,40.362421,18.189335,
642,298,G.Paolo II-Marinosci,,40.362400,18.189658,
643,299,G.Paolo II-Poli,,40.360569,18.186276,
644,300,G.Paolo II-Poli,,40.360662,18.186988,
645,301,G.Paolo II-Leopardi,,40.359362,18.184597,
646,302,G.Paolo II-Leopardi,,40.359399,18.184188,
647,303,S.D. Savio-Monti,,40.362201,18.181234,
648,304,S.D. Savio-Monti,,40.362266,18.181094,
649,305,Salesiani-Palumbo,,40.362921,18.183734,
650,306,Salesiani-Palumbo,,40.363056,18.183124,
651,307,Palumbo-Bixio,,40.364427,18.185402,
652,308,Palumbo-Bixio,,40.364139,18.184943,
653,309,D'Andrea-Biasco,,40.366212,18.187325,
654,310,D'Andrea-Biasco,,40.365851,18.186733,
655,311,Giammatteo-A. da Taranto,,40.367626,18.176996,
656,312,Giammatteo-A. da Taranto,,40.367224,18.176876,
657,313,Giammatteo-Papini,,40.370386,18.177799,
658,314,Giammatteo-Papini,,40.369978,18.177417,
659,315,SP133-Maiori,,40.471940,18.175028,
660,316,SP133-Torvaianica,,40.468837,18.177560,
661,317,SP133-Maiori,,40.472224,18.174949,
662,318,Grassi-Ducas,,40.344288,18.158044,
665,321,P.zza Indipendenza,,40.365271,18.173854,
666,322,P.zza Indipendenza,,40.364594,18.173086,
667,323,Po,,40.362976,18.171927,
668,324,Po,,40.363036,18.171834,
669,325,Tevere-Arno,,40.366417,18.171107,
670,326,Tevere-Arno,,40.366354,18.171037,
671,327,Adriatica-Ferrando,,40.366484,18.169113,
672,328,Adriatica-Ferrando,,40.366533,18.168995,
673,329,Adriatica-Sandalo,,40.369314,18.168560,
674,330,Adriatica-Sandalo,,40.369215,18.168542,
675,331,Adriatica-Papini,,40.373290,18.169166,
676,332,Adriatica-Papini,,40.373032,18.169232,
677,333,Adriatica-Velino,,40.376455,18.169431,
678,334,Adriatica-Velino,,40.375741,18.169367,
679,337,Adriatica-Lampedusa,,40.385785,18.168577,
680,338,Rudiae-Ducas,,40.346781,18.159285,
681,339,Motorizzazione,,40.389389,18.166186,
682,340,San Nicola-Bizamano,,40.367659,18.162625,
683,341,San Nicola-Bizamano,,40.367327,18.163002,
684,342,Sinni-San Nicola,,40.369439,18.160198,
685,343,Sinni-San Nicola,,40.369648,18.159796,
686,344,Calore-Sinni,,40.369324,18.157402,
687,345,Calore-Sinni,,40.369429,18.157694,
688,346,Calore-Falcone,,40.369497,18.156171,
689,347,Calore-Falcone,,40.369430,18.156238,
690,348,Lequile-Bastianutti,,40.342155,18.158571,
691,349,Lequile-Bastianutti,,40.341521,18.158328,
692,350,SP133-Torvaianica,,40.468831,18.177408,
693,351,Magellano,,40.385292,18.289243,
694,352,Benzi-Almirante,,40.375189,18.145389,
